cluster_id,keywords,custom_label
7,"quantum, distributed, computing, protocol, protocols, verification, process, program, processes, classical",
4,"quantum, learning, neural, propose, machine, classical, networks, network, control, systems",
2,"quan, tum, quantum, university, dissertation, thesis, proof, adolescent, dumachev, aghamohammadi",
9,"quantum, university, geometric, phase, spin, physics, states, state, adiabatic, study",
17,"code, codes, quantum, surface, error, qubits, qubit, logical, correction, fault",
6,"quantum, error, gravity, theory, field, black, holographic, correction, model, hole",
30,"quantum, codes, error, correcting, code, correction, errors, stabilizer, qubit, classical",
31,"quantum, error, codes, correction, code, channel, correcting, errors, information, channels",
13,"quantum, teleportation, entanglement, cloning, communication, states, state, information, propose, protocol",
0,"quantum, group, groups, graphs, algebras, theory, algebra, space, compact, spaces",
27,"quantum, error, correction, state, errors, qubit, fault, code, qubits, computer",
29,"quantum, fault, tolerant, computation, error, qubit, computing, qubits, based, code",
22,"quantum, qubit, gates, qubits, ion, gate, error, fidelity, trapped, propose",
25,"quantum, error, correction, entanglement, propose, operator, information, continuous, present, new",
5,"quantum, protocol, key, security, classical, scheme, based, information, secret, distribution",
14,"quantum, algorithm, hardware, propose, circuit, classical, algorithms, computing, model, computation",
24,"quantum, error, noise, mitigation, propose, method, circuit, extrapolation, based, errors",
18,"surface, decoding, code, codes, noise, decoder, propose, algorithm, matching, decoders",
12,"quantum, mechanics, theory, classical, physics, action, systems, probability, propose, states",
1,"quantum, walk, walks, time, graph, dimensional, state, present, computer, entanglement",
26,"quantum, codes, fault, tolerant, error, code, qubits, computation, logical, qubit",
16,"quantum, information, channels, classical, entropy, theory, channel, capacity, states, entanglement",
19,"codes, code, surface, color, based, toric, propose, new, state, lattice",
10,"quantum, topological, majorana, propose, non, fermions, state, based, dimensional, model",
15,"quantum, discord, measure, correlations, coherence, states, quantumness, correlation, entanglement, state",
8,"quantum, magic, state, states, distillation, clifford, circuits, gates, propose, codes",
3,"propose, topological, algorithm, overhead, fault, distributed, ftqc, tolerant, hybrid, based",
21,"quantum, qubit, propose, qubits, superconducting, logical, protected, based, gate, using",
28,"quantum, error, fault, threshold, computation, tolerant, qubits, noise, gates, codes",
20,"quantum, spin, optical, state, using, based, states, dots, dot, propose",
11,"quantum, thermal, critical, phase, coherence, state, dynamics, discord, heat, correlations",
23,"codes, quantum, eaqeccs, entanglement, mds, error, assisted, correcting, construct, parameters",
